Name,Points,Price
MER,115,29.9
MCL,-7,28.5
RBR,45,28.8
FER,119,23.9
ALP,45,13.7
WIL,22,13.2
AST,-20,9.1
HAA,65,8.6
RBS,50,7.5
AUD,-4,5.4
CAD,22,5.2
