Name,Points,Price
GAS,20,12.8
COL,18,7.0
ALO,-7,8.8
STR,-14,6.8
BOR,-14,6.4
HUL,7,5.6
PER,20,6.4
BOT,3,4.7
LEC,51,23.4
HAM,48,22.9
BEA,34,8.6
OCO,24,8.5
NOR,-10,26.8
PIA,-7,24.9
RUS,45,28.0
ANT,68,23.8
LIN,7,7.4
LAW,35,6.9
VER,14,28.1
HAD,19,13.9
SAI,28,12.2
ALB,-7,10.8
