Name,Points,Price
MER,39,31.4
MCL,67,29.8
RBR,59,29.7
FER,58,25.4
ALP,31,16.7
WIL,1,15.0
HAA,16,10.4
RBS,26,10.5
AST,-36,6.9
CAD,-9,5.4
AUD,2,4.4
