Name,Points,Price
GAS,17,12.2
COL,9,10.0
ALO,-17,6.2
STR,-20,4.2
BOR,7,5.8
HUL,-15,3.0
PER,8,6.2
BOT,-18,3.3
HAM,56,24.2
LEC,0,23.5
OCO,8,10.3
BEA,7,7.6
NOR,23,25.9
PIA,19,25.0
RUS,28,27.9
ANT,-4,25.3
LAW,9,8.7
LIN,10,5.6
VER,22,28.0
HAD,22,12.1
SAI,11,12.0
ALB,-16,8.2
