Name,Points,Price
GAS,23,13.0
COL,27,10.4
ALO,8,5.0
STR,7,3.0
BOR,16,6.6
HUL,-7,3.0
PER,7,5.0
BOT,5,3.0
HAM,33,24.8
LEC,54,23.3
OCO,19,10.3
BEA,13,7.2
NOR,38,25.7
PIA,19,24.8
RUS,44,28.1
ANT,23,25.3
LAW,22,9.5
LIN,18,6.8
VER,-3,27.8
HAD,23,13.3
SAI,8,10.8
ALB,-13,7.0
