Name,Points,Price
MER,92,32.0
MCL,72,30.4
RBR,32,30.3
FER,92,26.0
ALP,53,17.9
WIL,0,13.8
RBS,55,11.7
HAA,33,10.8
AST,16,5.7
AUD,17,5.6
CAD,13,4.2
