Name,Points,Price
GAS,25,11.6
COL,0,9.4
ALO,15,6.8
STR,-20,4.8
BOR,5,5.6
HUL,3,3.2
PER,8,6.8
BOT,-20,3.9
LEC,-13,23.8
HAM,27,23.9
OCO,12,10.1
BEA,-19,8.2
NOR,-17,26.2
PIA,16,25.1
RUS,0,28.2
ANT,55,25.0
LAW,13,8.1
LIN,18,5.8
VER,-11,28.3
HAD,19,11.5
SAI,-3,12.6
ALB,9,8.8
