Name,Points,Price
MER,70,31.1
RBR,18,29.4
MCL,14,29.5
FER,29,25.1
ALP,30,16.1
WIL,9,15.6
HAA,-8,10.6
RBS,36,9.9
AST,-4,7.5
CAD,-13,6.0
AUD,21,3.8
