Name,Points,Price
GAS,16,12.2
COL,25,8.8
ALO,-26,7.4
STR,11,5.4
BOR,5,5.4
HUL,1,3.8
PER,-11,7.0
BOT,12,4.5
LEC,27,24.1
HAM,42,23.6
OCO,8,9.9
BEA,10,8.8
NOR,6,26.5
PIA,12,25.0
RUS,4,28.5
ANT,62,24.7
LAW,23,7.9
LIN,-16,6.4
VER,26,28.4
HAD,6,12.1
SAI,11,12.8
ALB,-8,9.0
