Name,Points,Price
MER,76,30.8
RBR,44,29.3
MCL,33,29.2
FER,69,24.8
ALP,46,15.5
WIL,6,15.0
HAA,19,10.4
RBS,22,9.3
AST,-14,7.3
CAD,2,6.2
AUD,11,4.4
