Name,Points,Price
MER,96,29.6
MCL,19,28.8
RBR,42,28.5
FER,69,23.6
ALP,22,13.1
WIL,20,12.6
AST,-38,9.7
HAA,34,8.0
AUD,0,6.0
RBS,35,6.9
CAD,-13,5.4
