Name,Points,Price
GAS,11,12.0
COL,6,6.2
ALO,-14,10.0
STR,-23,8.0
HUL,-20,6.8
BOR,13,6.4
PER,4,6.0
BOT,-16,5.9
LEC,29,22.8
HAM,25,22.5
BEA,20,7.4
OCO,9,7.3
NOR,21,27.2
PIA,-14,25.5
RUS,39,27.4
ANT,32,23.2
LAW,5,6.5
LIN,15,6.2
VER,50,27.7
HAD,-8,15.1
SAI,9,11.8
ALB,8,11.6
