Name,Points,Price
GAS,14,13.0
COL,4,7.6
ALO,4,8.2
STR,-17,6.2
BOR,3,5.8
HUL,10,5.0
PER,4,7.0
BOT,2,4.1
LEC,31,23.7
HAM,19,23.2
BEA,-14,9.2
OCO,9,9.1
NOR,24,26.5
PIA,43,24.6
RUS,27,28.3
ANT,50,24.1
LIN,1,7.6
LAW,10,7.5
VER,13,28.2
HAD,5,13.3
SAI,4,12.4
ALB,-1,10.2
