Name,Points,Price
MER,85,31.7
MCL,49,30.1
RBR,68,30.0
FER,56,25.7
ALP,21,17.3
WIL,-6,14.4
RBS,38,11.1
HAA,13,10.2
AST,-11,6.3
CAD,-35,4.8
AUD,15,5.0
