Name,Points,Price
MER,104,30.5
RBR,31,29.2
MCL,110,28.9
FER,57,24.5
ALP,17,14.9
WIL,42,14.4
HAA,23,9.8
AST,38,7.9
RBS,2,8.7
AUD,-27,5.0
CAD,24,5.6
