Name,Points,Price
GAS,-8,12.8
COL,13,8.2
ALO,20,8.0
STR,17,5.6
BOR,7,5.2
HUL,-29,4.4
PER,19,7.6
BOT,4,3.9
LEC,27,24.0
HAM,20,23.5
BEA,6,9.4
OCO,14,9.7
NOR,54,26.4
PIA,41,24.7
RUS,42,28.6
ANT,42,24.4
LIN,-4,7.0
LAW,-12,8.1
VER,52,28.3
HAD,-16,12.7
SAI,19,13.0
ALB,20,9.6
