Name,Points,Price
MER,0,29.3
MCL,0,28.9
RBR,0,28.2
FER,0,23.3
ALP,0,12.5
WIL,0,12.0
AST,0,10.3
HAA,0,7.4
AUD,0,6.6
RBS,0,6.3
CAD,0,6.0
